folio,cliente_id,cliente_nombre,industria,segmento,ejecutivo,fecha_emision,fecha_vencimiento,dias_mora,tramo_mora,monto_original,monto_pagado,saldo_deudor,estado,region
10001,C011,Agrícola Valle Verde SpA,Agricultura,Mediana,Carlos Rojas,2023-04-25,2023-05-25,646,>180 días,14310000.0,4858000.0,9452000.0,Acuerdo de Pago,Valparaíso
10002,C003,Clínica Santa María SpA,Salud,Mediana,Valentina Soto,2025-01-24,2025-02-23,6,0-30 días,3184000.0,0.0,3184000.0,En Gestión,Metropolitana
10003,C010,Tecnologías del Pacífico Ltda.,TI,Pequeña,Carlos Rojas,2024-03-08,2024-04-07,328,>180 días,2153000.0,4000.0,2149000.0,Castigada,Valparaíso
10004,C009,Minera Altiplano S.A.,Minería,Grande,Valentina Soto,2024-09-08,2024-10-08,144,91-180 días,77743000.0,1414000.0,76329000.0,Castigada,Antofagasta
10005,C004,Transportes Rápido Ltda.,Logística,Pequeña,María González,2024-04-04,2024-06-03,271,>180 días,1622000.0,442000.0,1180000.0,Acuerdo de Pago,Valparaíso
10006,C012,Ferretería Industrial Ltda.,Comercio,Pequeña,Carlos Rojas,2024-03-08,2024-05-07,298,>180 días,505000.0,15000.0,490000.0,Castigada,Biobío
10007,C002,Supermercados Del Sur S.A.,Retail,Grande,Paola Muñoz,2023-04-05,2023-07-04,606,>180 días,32477000.0,648000.0,31829000.0,Castigada,Araucanía
10008,C005,Inmobiliaria Horizonte S.A.,Inmobiliaria,Mediana,Andrés Torres,2023-02-14,2023-05-15,656,>180 días,9294000.0,565000.0,8729000.0,Castigada,Metropolitana
10009,C009,Minera Altiplano S.A.,Minería,Grande,María González,2023-10-28,2023-12-27,430,>180 días,17789000.0,1718000.0,16071000.0,Castigada,Metropolitana
10010,C011,Agrícola Valle Verde SpA,Agricultura,Mediana,Carlos Rojas,2023-08-22,2023-10-21,497,>180 días,5265000.0,1967000.0,3298000.0,Acuerdo de Pago,Metropolitana
10011,C007,Restaurante El Huerto SpA,Gastronomía,Pequeña,Paola Muñoz,2023-10-12,2024-01-10,416,>180 días,1536000.0,5000.0,1531000.0,Castigada,Valparaíso
10012,C006,Farmacia Cruz Verde S.A.,Retail,Grande,María González,2023-12-30,2024-02-13,382,>180 días,73199000.0,16447000.0,56752000.0,Acuerdo de Pago,Araucanía
10013,C011,Agrícola Valle Verde SpA,Agricultura,Mediana,Andrés Torres,2023-06-25,2023-08-09,570,>180 días,8654000.0,839000.0,7815000.0,Castigada,Biobío
10014,C015,Servicios Generales del Sur,Servicios,Pequeña,María González,2024-10-17,2024-12-01,90,61-90 días,2695000.0,914000.0,1781000.0,Acuerdo de Pago,Valparaíso
10015,C014,Hotel Costanera SpA,Turismo,Mediana,María González,2023-02-02,2023-04-03,698,>180 días,2239000.0,10000.0,2229000.0,Castigada,Valparaíso
10016,C015,Servicios Generales del Sur,Servicios,Pequeña,Andrés Torres,2024-08-03,2024-10-02,150,91-180 días,887000.0,383000.0,504000.0,Acuerdo de Pago,Antofagasta
10017,C015,Servicios Generales del Sur,Servicios,Pequeña,Carlos Rojas,2024-10-20,2025-01-18,42,31-60 días,1674000.0,0.0,1674000.0,En Gestión,Valparaíso
10018,C012,Ferretería Industrial Ltda.,Comercio,Pequeña,Andrés Torres,2024-07-28,2024-09-26,156,91-180 días,316000.0,0.0,316000.0,En Gestión,Araucanía
10019,C007,Restaurante El Huerto SpA,Gastronomía,Pequeña,Carlos Rojas,2024-01-06,2024-02-20,375,>180 días,676000.0,69000.0,607000.0,Acuerdo de Pago,Araucanía
10020,C008,Corporación Educacional Norte,Educación,Mediana,Carlos Rojas,2023-04-04,2023-05-04,667,>180 días,10896000.0,4451000.0,6445000.0,Acuerdo de Pago,Valparaíso
10021,C013,Seguros Continental S.A.,Seguros,Grande,Andrés Torres,2024-11-27,2025-02-25,4,0-30 días,10553000.0,0.0,10553000.0,Vencida,Antofagasta
10022,C010,Tecnologías del Pacífico Ltda.,TI,Pequeña,María González,2024-04-24,2024-06-23,251,>180 días,1060000.0,133000.0,927000.0,Acuerdo de Pago,Metropolitana
10023,C011,Agrícola Valle Verde SpA,Agricultura,Mediana,Paola Muñoz,2024-07-03,2024-09-01,181,>180 días,5553000.0,1971000.0,3582000.0,Acuerdo de Pago,Metropolitana
10024,C005,Inmobiliaria Horizonte S.A.,Inmobiliaria,Mediana,Paola Muñoz,2024-03-21,2024-05-05,300,>180 días,7611000.0,543000.0,7068000.0,Castigada,Araucanía
10025,C013,Seguros Continental S.A.,Seguros,Grande,Paola Muñoz,2023-07-02,2023-08-01,578,>180 días,62059000.0,18464000.0,43595000.0,Acuerdo de Pago,Araucanía
10026,C010,Tecnologías del Pacífico Ltda.,TI,Pequeña,Carlos Rojas,2023-07-23,2023-09-06,542,>180 días,174000.0,2000.0,172000.0,Castigada,Araucanía
10027,C013,Seguros Continental S.A.,Seguros,Grande,Andrés Torres,2024-06-27,2024-07-27,217,>180 días,7357000.0,374000.0,6983000.0,Castigada,Metropolitana
10028,C002,Supermercados Del Sur S.A.,Retail,Grande,Carlos Rojas,2024-01-07,2024-03-07,359,>180 días,73067000.0,5521000.0,67546000.0,Castigada,Araucanía
10029,C002,Supermercados Del Sur S.A.,Retail,Grande,Valentina Soto,2023-03-29,2023-06-27,613,>180 días,22160000.0,3645000.0,18515000.0,Acuerdo de Pago,Valparaíso
10030,C003,Clínica Santa María SpA,Salud,Mediana,Carlos Rojas,2024-11-06,2025-02-04,25,0-30 días,12314000.0,0.0,12314000.0,En Gestión,Biobío
10031,C009,Minera Altiplano S.A.,Minería,Grande,Valentina Soto,2024-09-13,2024-12-12,79,61-90 días,70360000.0,0.0,70360000.0,Vencida,Valparaíso
10032,C012,Ferretería Industrial Ltda.,Comercio,Pequeña,Paola Muñoz,2023-11-16,2024-02-14,381,>180 días,2442000.0,1120000.0,1322000.0,Acuerdo de Pago,Antofagasta
10033,C015,Servicios Generales del Sur,Servicios,Pequeña,Carlos Rojas,2024-06-13,2024-09-11,171,91-180 días,761000.0,206000.0,555000.0,Acuerdo de Pago,Metropolitana
10034,C006,Farmacia Cruz Verde S.A.,Retail,Grande,María González,2023-01-22,2023-03-08,724,>180 días,66351000.0,3389000.0,62962000.0,Castigada,Metropolitana
10035,C012,Ferretería Industrial Ltda.,Comercio,Pequeña,María González,2024-10-08,2024-11-07,114,91-180 días,448000.0,105000.0,343000.0,Acuerdo de Pago,Biobío
10036,C002,Supermercados Del Sur S.A.,Retail,Grande,Andrés Torres,2024-06-10,2024-07-25,219,>180 días,75718000.0,5323000.0,70395000.0,Castigada,Valparaíso
10037,C009,Minera Altiplano S.A.,Minería,Grande,Andrés Torres,2023-05-16,2023-08-14,565,>180 días,32272000.0,813000.0,31459000.0,Castigada,Antofagasta
10038,C004,Transportes Rápido Ltda.,Logística,Pequeña,Paola Muñoz,2023-04-07,2023-05-07,664,>180 días,926000.0,106000.0,820000.0,Acuerdo de Pago,Antofagasta
10039,C007,Restaurante El Huerto SpA,Gastronomía,Pequeña,María González,2024-04-23,2024-05-23,282,>180 días,249000.0,53000.0,196000.0,Acuerdo de Pago,Metropolitana
10040,C007,Restaurante El Huerto SpA,Gastronomía,Pequeña,María González,2025-01-15,2025-03-16,0,0-30 días,520000.0,0.0,520000.0,Vigente,Valparaíso
10041,C004,Transportes Rápido Ltda.,Logística,Pequeña,Carlos Rojas,2023-07-14,2023-10-12,506,>180 días,802000.0,54000.0,748000.0,Castigada,Biobío
10042,C008,Corporación Educacional Norte,Educación,Mediana,Valentina Soto,2023-09-13,2023-10-13,505,>180 días,4327000.0,159000.0,4168000.0,Castigada,Metropolitana
10043,C001,Constructora Los Andes Ltda.,Construcción,Grande,Carlos Rojas,2024-10-29,2024-11-28,93,91-180 días,52423000.0,0.0,52423000.0,En Gestión,Valparaíso
10044,C007,Restaurante El Huerto SpA,Gastronomía,Pequeña,Andrés Torres,2024-05-12,2024-08-10,203,>180 días,1030000.0,19000.0,1011000.0,Castigada,Metropolitana
10045,C003,Clínica Santa María SpA,Salud,Mediana,Paola Muñoz,2024-01-24,2024-02-23,372,>180 días,9273000.0,989000.0,8284000.0,Acuerdo de Pago,Antofagasta
10046,C005,Inmobiliaria Horizonte S.A.,Inmobiliaria,Mediana,Paola Muñoz,2024-03-09,2024-06-07,267,>180 días,4171000.0,73000.0,4098000.0,Castigada,Valparaíso
10047,C001,Constructora Los Andes Ltda.,Construcción,Grande,María González,2024-08-16,2024-09-15,167,91-180 días,56820000.0,0.0,56820000.0,En Gestión,Metropolitana
10048,C010,Tecnologías del Pacífico Ltda.,TI,Pequeña,Valentina Soto,2024-05-03,2024-06-17,257,>180 días,429000.0,40000.0,389000.0,Castigada,Metropolitana
10049,C014,Hotel Costanera SpA,Turismo,Mediana,Carlos Rojas,2023-07-10,2023-08-09,570,>180 días,4611000.0,377000.0,4234000.0,Castigada,Antofagasta
10050,C002,Supermercados Del Sur S.A.,Retail,Grande,María González,2024-08-06,2024-09-20,162,91-180 días,46640000.0,434000.0,46206000.0,Castigada,Araucanía
10051,C002,Supermercados Del Sur S.A.,Retail,Grande,Carlos Rojas,2024-03-05,2024-05-04,301,>180 días,72291000.0,17033000.0,55258000.0,Acuerdo de Pago,Biobío
10052,C004,Transportes Rápido Ltda.,Logística,Pequeña,Paola Muñoz,2023-09-29,2023-12-28,429,>180 días,2702000.0,240000.0,2462000.0,Castigada,Antofagasta
10053,C006,Farmacia Cruz Verde S.A.,Retail,Grande,María González,2025-02-08,2025-03-10,0,0-30 días,63491000.0,0.0,63491000.0,Vigente,Antofagasta
10054,C010,Tecnologías del Pacífico Ltda.,TI,Pequeña,Carlos Rojas,2024-07-30,2024-08-29,184,>180 días,1859000.0,2000.0,1857000.0,Castigada,Araucanía
10055,C005,Inmobiliaria Horizonte S.A.,Inmobiliaria,Mediana,Carlos Rojas,2023-05-16,2023-07-15,595,>180 días,10289000.0,1691000.0,8598000.0,Acuerdo de Pago,Biobío
10056,C005,Inmobiliaria Horizonte S.A.,Inmobiliaria,Mediana,Paola Muñoz,2023-06-11,2023-09-09,539,>180 días,10687000.0,2027000.0,8660000.0,Acuerdo de Pago,Araucanía
10057,C013,Seguros Continental S.A.,Seguros,Grande,Valentina Soto,2024-10-31,2024-11-30,91,91-180 días,58413000.0,4360000.0,54053000.0,Castigada,Biobío
10058,C015,Servicios Generales del Sur,Servicios,Pequeña,Carlos Rojas,2024-11-10,2024-12-10,81,61-90 días,2007000.0,0.0,2007000.0,Vencida,Biobío
10059,C002,Supermercados Del Sur S.A.,Retail,Grande,Valentina Soto,2023-04-20,2023-06-04,636,>180 días,47623000.0,1263000.0,46360000.0,Castigada,Valparaíso
10060,C012,Ferretería Industrial Ltda.,Comercio,Pequeña,Paola Muñoz,2023-12-18,2024-02-01,394,>180 días,1240000.0,566000.0,674000.0,Acuerdo de Pago,Araucanía
10061,C008,Corporación Educacional Norte,Educación,Mediana,Andrés Torres,2023-09-15,2023-10-15,503,>180 días,12127000.0,700000.0,11427000.0,Castigada,Biobío
10062,C001,Constructora Los Andes Ltda.,Construcción,Grande,Paola Muñoz,2023-01-04,2023-03-05,727,>180 días,41939000.0,8904000.0,33035000.0,Acuerdo de Pago,Valparaíso
10063,C012,Ferretería Industrial Ltda.,Comercio,Pequeña,María González,2024-03-28,2024-06-26,248,>180 días,614000.0,58000.0,556000.0,Castigada,Metropolitana
10064,C015,Servicios Generales del Sur,Servicios,Pequeña,Paola Muñoz,2024-12-08,2025-01-22,38,31-60 días,1173000.0,125000.0,1048000.0,Acuerdo de Pago,Araucanía
10065,C009,Minera Altiplano S.A.,Minería,Grande,Paola Muñoz,2023-06-01,2023-08-30,549,>180 días,74624000.0,7191000.0,67433000.0,Castigada,Biobío
10066,C015,Servicios Generales del Sur,Servicios,Pequeña,Carlos Rojas,2023-02-10,2023-04-11,690,>180 días,1217000.0,104000.0,1113000.0,Castigada,Metropolitana
10067,C006,Farmacia Cruz Verde S.A.,Retail,Grande,Carlos Rojas,2024-07-27,2024-10-25,127,91-180 días,28769000.0,0.0,28769000.0,En Gestión,Valparaíso
10068,C014,Hotel Costanera SpA,Turismo,Mediana,María González,2023-06-16,2023-07-31,579,>180 días,10744000.0,1492000.0,9252000.0,Acuerdo de Pago,Valparaíso
10069,C012,Ferretería Industrial Ltda.,Comercio,Pequeña,Carlos Rojas,2023-12-07,2024-03-06,360,>180 días,506000.0,156000.0,350000.0,Acuerdo de Pago,Biobío
10070,C003,Clínica Santa María SpA,Salud,Mediana,María González,2024-12-19,2025-01-18,42,31-60 días,11371000.0,0.0,11371000.0,En Gestión,Antofagasta
10071,C004,Transportes Rápido Ltda.,Logística,Pequeña,Carlos Rojas,2023-07-24,2023-10-22,496,>180 días,951000.0,77000.0,874000.0,Castigada,Valparaíso
10072,C001,Constructora Los Andes Ltda.,Construcción,Grande,Paola Muñoz,2024-11-06,2024-12-21,70,61-90 días,65759000.0,0.0,65759000.0,En Gestión,Metropolitana
10073,C013,Seguros Continental S.A.,Seguros,Grande,Andrés Torres,2023-10-13,2023-12-12,445,>180 días,43351000.0,2818000.0,40533000.0,Castigada,Araucanía
10074,C006,Farmacia Cruz Verde S.A.,Retail,Grande,Paola Muñoz,2023-01-29,2023-02-28,732,>180 días,57648000.0,13559000.0,44089000.0,Acuerdo de Pago,Valparaíso
10075,C010,Tecnologías del Pacífico Ltda.,TI,Pequeña,Andrés Torres,2023-09-29,2023-10-29,489,>180 días,1777000.0,6000.0,1771000.0,Castigada,Biobío
10076,C012,Ferretería Industrial Ltda.,Comercio,Pequeña,Valentina Soto,2023-11-18,2024-02-16,379,>180 días,931000.0,55000.0,876000.0,Castigada,Metropolitana
10077,C007,Restaurante El Huerto SpA,Gastronomía,Pequeña,Andrés Torres,2024-08-13,2024-09-27,155,91-180 días,2486000.0,607000.0,1879000.0,Acuerdo de Pago,Metropolitana
10078,C009,Minera Altiplano S.A.,Minería,Grande,María González,2024-07-05,2024-08-19,194,>180 días,14530000.0,314000.0,14216000.0,Castigada,Biobío
10079,C010,Tecnologías del Pacífico Ltda.,TI,Pequeña,Paola Muñoz,2023-11-18,2023-12-18,439,>180 días,250000.0,78000.0,172000.0,Acuerdo de Pago,Araucanía
10080,C005,Inmobiliaria Horizonte S.A.,Inmobiliaria,Mediana,Paola Muñoz,2024-11-13,2025-02-11,18,0-30 días,9924000.0,0.0,9924000.0,Vencida,Araucanía
10081,C003,Clínica Santa María SpA,Salud,Mediana,Andrés Torres,2023-07-16,2023-10-14,504,>180 días,8228000.0,3440000.0,4788000.0,Acuerdo de Pago,Valparaíso
10082,C010,Tecnologías del Pacífico Ltda.,TI,Pequeña,María González,2024-08-05,2024-10-04,148,91-180 días,328000.0,1000.0,327000.0,Castigada,Biobío
10083,C005,Inmobiliaria Horizonte S.A.,Inmobiliaria,Mediana,Valentina Soto,2023-08-04,2023-11-02,485,>180 días,12704000.0,3349000.0,9355000.0,Acuerdo de Pago,Biobío
10084,C008,Corporación Educacional Norte,Educación,Mediana,Valentina Soto,2024-03-28,2024-06-26,248,>180 días,3190000.0,1020000.0,2170000.0,Acuerdo de Pago,Antofagasta
10085,C013,Seguros Continental S.A.,Seguros,Grande,María González,2025-01-23,2025-03-09,0,0-30 días,58595000.0,0.0,58595000.0,Vigente,Biobío
10086,C009,Minera Altiplano S.A.,Minería,Grande,Carlos Rojas,2024-11-10,2025-01-09,51,31-60 días,76615000.0,0.0,76615000.0,En Gestión,Biobío
10087,C004,Transportes Rápido Ltda.,Logística,Pequeña,Carlos Rojas,2023-07-23,2023-09-06,542,>180 días,818000.0,29000.0,789000.0,Castigada,Antofagasta
10088,C010,Tecnologías del Pacífico Ltda.,TI,Pequeña,Valentina Soto,2023-03-16,2023-06-14,626,>180 días,437000.0,2000.0,435000.0,Castigada,Valparaíso
10089,C012,Ferretería Industrial Ltda.,Comercio,Pequeña,Andrés Torres,2024-12-14,2025-03-14,0,0-30 días,2141000.0,0.0,2141000.0,Vigente,Antofagasta
10090,C004,Transportes Rápido Ltda.,Logística,Pequeña,María González,2023-06-01,2023-07-01,609,>180 días,1526000.0,442000.0,1084000.0,Acuerdo de Pago,Antofagasta
10091,C004,Transportes Rápido Ltda.,Logística,Pequeña,Carlos Rojas,2023-06-30,2023-09-28,520,>180 días,1256000.0,77000.0,1179000.0,Castigada,Metropolitana
10092,C008,Corporación Educacional Norte,Educación,Mediana,Valentina Soto,2023-05-17,2023-08-15,564,>180 días,1634000.0,572000.0,1062000.0,Acuerdo de Pago,Araucanía
10093,C006,Farmacia Cruz Verde S.A.,Retail,Grande,Valentina Soto,2025-02-12,2025-05-13,0,0-30 días,42735000.0,0.0,42735000.0,Vigente,Araucanía
10094,C007,Restaurante El Huerto SpA,Gastronomía,Pequeña,Andrés Torres,2024-07-15,2024-10-13,139,91-180 días,1963000.0,0.0,1963000.0,En Gestión,Antofagasta
10095,C005,Inmobiliaria Horizonte S.A.,Inmobiliaria,Mediana,Paola Muñoz,2025-02-08,2025-03-25,0,0-30 días,9201000.0,0.0,9201000.0,Vigente,Araucanía
10096,C008,Corporación Educacional Norte,Educación,Mediana,María González,2024-10-03,2024-11-17,104,91-180 días,6434000.0,1823000.0,4611000.0,Acuerdo de Pago,Biobío
10097,C004,Transportes Rápido Ltda.,Logística,Pequeña,Valentina Soto,2023-10-06,2023-12-05,452,>180 días,1220000.0,117000.0,1103000.0,Castigada,Metropolitana
10098,C003,Clínica Santa María SpA,Salud,Mediana,Carlos Rojas,2023-06-04,2023-07-19,591,>180 días,3741000.0,38000.0,3703000.0,Castigada,Valparaíso
10099,C002,Supermercados Del Sur S.A.,Retail,Grande,Andrés Torres,2024-02-29,2024-05-29,276,>180 días,6367000.0,45000.0,6322000.0,Castigada,Antofagasta
10100,C001,Constructora Los Andes Ltda.,Construcción,Grande,Valentina Soto,2023-07-31,2023-10-29,489,>180 días,28923000.0,2356000.0,26567000.0,Castigada,Metropolitana
10101,C014,Hotel Costanera SpA,Turismo,Mediana,Paola Muñoz,2024-08-12,2024-11-10,111,91-180 días,2654000.0,167000.0,2487000.0,Castigada,Biobío
10102,C013,Seguros Continental S.A.,Seguros,Grande,Valentina Soto,2024-02-04,2024-05-04,301,>180 días,70810000.0,1997000.0,68813000.0,Castigada,Araucanía
10103,C015,Servicios Generales del Sur,Servicios,Pequeña,Andrés Torres,2023-08-14,2023-11-12,475,>180 días,2440000.0,242000.0,2198000.0,Castigada,Antofagasta
10104,C001,Constructora Los Andes Ltda.,Construcción,Grande,Andrés Torres,2024-02-03,2024-04-03,332,>180 días,35946000.0,8495000.0,27451000.0,Acuerdo de Pago,Valparaíso
10105,C014,Hotel Costanera SpA,Turismo,Mediana,Valentina Soto,2024-04-23,2024-06-07,267,>180 días,13018000.0,5212000.0,7806000.0,Acuerdo de Pago,Metropolitana
10106,C015,Servicios Generales del Sur,Servicios,Pequeña,Andrés Torres,2024-02-08,2024-03-09,357,>180 días,2717000.0,137000.0,2580000.0,Castigada,Valparaíso
10107,C014,Hotel Costanera SpA,Turismo,Mediana,Andrés Torres,2024-04-17,2024-06-01,273,>180 días,5481000.0,213000.0,5268000.0,Castigada,Biobío
10108,C004,Transportes Rápido Ltda.,Logística,Pequeña,Andrés Torres,2024-04-10,2024-06-09,265,>180 días,365000.0,12000.0,353000.0,Castigada,Biobío
10109,C013,Seguros Continental S.A.,Seguros,Grande,Andrés Torres,2024-03-07,2024-05-06,299,>180 días,76255000.0,26898000.0,49357000.0,Acuerdo de Pago,Metropolitana
10110,C012,Ferretería Industrial Ltda.,Comercio,Pequeña,Paola Muñoz,2024-07-06,2024-08-05,208,>180 días,1053000.0,389000.0,664000.0,Acuerdo de Pago,Valparaíso
10111,C011,Agrícola Valle Verde SpA,Agricultura,Mediana,Carlos Rojas,2023-03-12,2023-04-11,690,>180 días,12082000.0,1649000.0,10433000.0,Acuerdo de Pago,Valparaíso
10112,C014,Hotel Costanera SpA,Turismo,Mediana,Andrés Torres,2023-01-21,2023-03-07,725,>180 días,1806000.0,80000.0,1726000.0,Castigada,Metropolitana
10113,C010,Tecnologías del Pacífico Ltda.,TI,Pequeña,Paola Muñoz,2023-08-12,2023-11-10,477,>180 días,439000.0,69000.0,370000.0,Acuerdo de Pago,Valparaíso
10114,C010,Tecnologías del Pacífico Ltda.,TI,Pequeña,Carlos Rojas,2024-09-13,2024-10-13,139,91-180 días,393000.0,0.0,393000.0,En Gestión,Biobío
10115,C002,Supermercados Del Sur S.A.,Retail,Grande,Valentina Soto,2024-08-15,2024-09-14,168,91-180 días,11308000.0,0.0,11308000.0,En Gestión,Antofagasta
10116,C007,Restaurante El Huerto SpA,Gastronomía,Pequeña,Carlos Rojas,2025-01-02,2025-02-16,13,0-30 días,336000.0,0.0,336000.0,Vencida,Metropolitana
10117,C012,Ferretería Industrial Ltda.,Comercio,Pequeña,Valentina Soto,2023-11-05,2023-12-05,452,>180 días,1185000.0,294000.0,891000.0,Acuerdo de Pago,Metropolitana
10118,C006,Farmacia Cruz Verde S.A.,Retail,Grande,María González,2024-06-29,2024-09-27,155,91-180 días,65960000.0,4969000.0,60991000.0,Castigada,Araucanía
10119,C011,Agrícola Valle Verde SpA,Agricultura,Mediana,Andrés Torres,2023-12-16,2024-01-15,411,>180 días,2169000.0,701000.0,1468000.0,Acuerdo de Pago,Metropolitana
